,entropy,true_labels,pred_labels,condition,is_prediction_correct
0,0.5307534879282847,3,3,Crossentropy,True
1,1.0181628698788696,8,1,Crossentropy,False
2,0.5154507416820987,8,1,Crossentropy,False
3,0.8940448120884918,0,8,Crossentropy,False
4,0.247375891912637,6,6,Crossentropy,True
5,0.4888013832622529,6,6,Crossentropy,True
6,0.24711978502239182,1,1,Crossentropy,True
7,0.2817794647948018,6,6,Crossentropy,True
8,0.581566956296562,3,3,Crossentropy,True
9,0.7499264481177406,1,1,Crossentropy,True
10,0.38295154790485575,0,0,Crossentropy,True
11,0.02174739679646006,9,9,Crossentropy,True
12,0.6658950870855828,5,5,Crossentropy,True
13,0.1312412742505757,7,7,Crossentropy,True
14,0.1771049983924576,9,9,Crossentropy,True
15,0.30001712021042687,8,8,Crossentropy,True
16,0.27101717590511853,5,5,Crossentropy,True
17,0.11828950415569005,7,7,Crossentropy,True
18,0.12124320114294172,8,8,Crossentropy,True
19,0.03855352134675773,6,6,Crossentropy,True
20,1.2427911723930243,7,7,Crossentropy,True
21,0.7153410273218134,0,0,Crossentropy,True
22,0.334110161117507,4,4,Crossentropy,True
23,0.023580943979384057,9,9,Crossentropy,True
24,1.0338466008586045,5,5,Crossentropy,True
25,1.4363704638455101,2,3,Crossentropy,False
26,0.4586360560738188,4,4,Crossentropy,True
27,0.1263615803609709,0,0,Crossentropy,True
28,0.08612169369934893,9,9,Crossentropy,True
29,0.061866253265456264,6,6,Crossentropy,True
30,0.11520603770090193,6,6,Crossentropy,True
31,0.12714019673387358,5,5,Crossentropy,True
32,0.8214400523768812,4,4,Crossentropy,True
33,0.7483230716672532,5,5,Crossentropy,True
34,0.04083098454818503,9,9,Crossentropy,True
35,1.1319141192088882,2,3,Crossentropy,False
36,0.4695397115915333,4,4,Crossentropy,True
37,0.7646461791605703,1,9,Crossentropy,False
38,0.02803867589034978,9,9,Crossentropy,True
39,0.08596373805095275,5,5,Crossentropy,True
40,0.2605032927256635,4,4,Crossentropy,True
41,0.06956725222435105,6,6,Crossentropy,True
42,0.9278273802531388,5,5,Crossentropy,True
43,0.45715443201895306,6,6,Crossentropy,True
44,0.12866695335896616,0,0,Crossentropy,True
45,0.041731006869809475,9,9,Crossentropy,True
46,0.6344503337897728,3,3,Crossentropy,True
47,0.8725753339445246,9,9,Crossentropy,True
48,0.23120275955101838,7,7,Crossentropy,True
49,0.1126388793083553,6,6,Crossentropy,True
50,0.10735374713775483,9,9,Crossentropy,True
51,0.11202870387029788,8,8,Crossentropy,True
52,1.2586688955293899,0,2,Crossentropy,False
53,0.9089556764989937,3,5,Crossentropy,False
54,0.15811784110397298,8,8,Crossentropy,True
55,0.04988448299951609,8,8,Crossentropy,True
56,1.0535031688476297,7,7,Crossentropy,True
57,1.0298066024437684,7,3,Crossentropy,False
58,1.6565230068462353,4,3,Crossentropy,False
59,1.1127777991487804,6,6,Crossentropy,True
60,0.08498873626676398,7,7,Crossentropy,True
61,0.5681896979777507,3,5,Crossentropy,False
62,0.17821363453740596,6,6,Crossentropy,True
63,0.9299215633963538,3,3,Crossentropy,True
64,0.11343803079114304,6,6,Crossentropy,True
65,0.3744491152039102,2,2,Crossentropy,True
66,0.6048058766386485,1,1,Crossentropy,True
67,0.05769157218294126,2,2,Crossentropy,True
68,1.517721231831539,3,5,Crossentropy,False
69,1.2807007476869012,7,7,Crossentropy,True
70,0.5215799382711945,2,2,Crossentropy,True
71,0.9883157849080252,6,3,Crossentropy,False
72,0.24476417319788063,8,8,Crossentropy,True
73,0.1432282708344208,8,8,Crossentropy,True
74,0.32858259094687087,0,0,Crossentropy,True
75,0.0635807691738339,2,2,Crossentropy,True
