,entropy,true_labels,pred_labels,condition,is_prediction_correct
0,1.8581272266787692,3,3,Evidential_DIGAMMA,True
1,2.0656705357211136,8,8,Evidential_DIGAMMA,True
2,1.7165998952396044,8,8,Evidential_DIGAMMA,True
3,2.131671019487039,0,0,Evidential_DIGAMMA,True
4,1.5989449169178644,6,6,Evidential_DIGAMMA,True
5,1.7652504205286246,6,6,Evidential_DIGAMMA,True
6,1.8281578947945678,1,1,Evidential_DIGAMMA,True
7,1.6469776153588769,6,6,Evidential_DIGAMMA,True
8,2.15916159029185,3,3,Evidential_DIGAMMA,True
9,1.558757587190629,1,1,Evidential_DIGAMMA,True
10,2.295033846426054,0,0,Evidential_DIGAMMA,True
11,1.1872865653201066,9,9,Evidential_DIGAMMA,True
12,2.220510987700998,5,5,Evidential_DIGAMMA,True
13,1.4282393508969808,7,7,Evidential_DIGAMMA,True
14,1.5379815691122922,9,9,Evidential_DIGAMMA,True
15,1.8057772973394928,8,8,Evidential_DIGAMMA,True
16,1.7875312245119421,5,5,Evidential_DIGAMMA,True
17,1.5066584516120154,7,7,Evidential_DIGAMMA,True
18,1.4534256905522684,8,8,Evidential_DIGAMMA,True
19,1.3106071319764019,6,6,Evidential_DIGAMMA,True
20,1.597481812649883,7,7,Evidential_DIGAMMA,True
21,1.7580777809129782,0,0,Evidential_DIGAMMA,True
22,1.9319484140655545,4,4,Evidential_DIGAMMA,True
23,1.3252748769409002,9,9,Evidential_DIGAMMA,True
24,2.2434632452021526,5,4,Evidential_DIGAMMA,False
25,2.279643963491514,2,2,Evidential_DIGAMMA,True
26,2.2937621498174248,4,4,Evidential_DIGAMMA,True
27,2.079164111053793,0,0,Evidential_DIGAMMA,True
28,1.4844951111267584,9,9,Evidential_DIGAMMA,True
29,1.3788415800116782,6,6,Evidential_DIGAMMA,True
30,1.5024909407826907,6,6,Evidential_DIGAMMA,True
31,1.827398945327362,5,5,Evidential_DIGAMMA,True
32,2.029172549590683,4,4,Evidential_DIGAMMA,True
33,2.2856856231753317,5,5,Evidential_DIGAMMA,True
34,1.2494093381502913,9,9,Evidential_DIGAMMA,True
35,2.168662468565152,2,3,Evidential_DIGAMMA,False
36,1.9858980104342339,4,4,Evidential_DIGAMMA,True
37,2.156698527485175,1,9,Evidential_DIGAMMA,False
38,1.2471264575977594,9,9,Evidential_DIGAMMA,True
39,1.467465102084817,5,5,Evidential_DIGAMMA,True
40,1.6976502307602022,4,4,Evidential_DIGAMMA,True
41,1.4715651429423173,6,6,Evidential_DIGAMMA,True
42,2.288960067520796,5,7,Evidential_DIGAMMA,False
43,1.5420812076673207,6,6,Evidential_DIGAMMA,True
44,1.5865339760198656,0,0,Evidential_DIGAMMA,True
45,1.2976364200322728,9,9,Evidential_DIGAMMA,True
46,2.2637806846042148,3,3,Evidential_DIGAMMA,True
47,2.268761438008367,9,9,Evidential_DIGAMMA,True
48,1.5295857538614728,7,7,Evidential_DIGAMMA,True
49,1.4584859366398688,6,6,Evidential_DIGAMMA,True
50,2.000966925433009,9,9,Evidential_DIGAMMA,True
51,1.4838389068129485,8,8,Evidential_DIGAMMA,True
52,1.8216765459772228,0,2,Evidential_DIGAMMA,False
53,2.2141591491767585,3,3,Evidential_DIGAMMA,True
54,1.4568343932618115,8,8,Evidential_DIGAMMA,True
55,1.3942309034345606,8,8,Evidential_DIGAMMA,True
56,1.4690746977146403,7,7,Evidential_DIGAMMA,True
57,2.209330108919207,7,3,Evidential_DIGAMMA,False
58,2.258724518641918,4,7,Evidential_DIGAMMA,False
59,2.2893164301982765,6,3,Evidential_DIGAMMA,False
60,1.5681124081754416,7,7,Evidential_DIGAMMA,True
61,2.1876774942760577,3,5,Evidential_DIGAMMA,False
62,1.764241751861115,6,6,Evidential_DIGAMMA,True
